설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
우암동 주민센터,민원실,부산광역시,남구,관공서,LGU+,Public WiFi,14-Oct,부산광역시 남구 우암로 190-15,부산광역시 남구 우암동 162-18,부산광역시,051-888-4604,35.125016,129.075892,2018-08-24
원자력스포츠문화센터,센터,부산광역시,기장군,지역문화시설,KT,Public WiFi,14-Oct,부산광역시 기장군 장안읍 천산로 28,부산광역시 기장군 장안읍 길천리 411-2,부산광역시,051-888-4604,35.335499,129.283327,2018-08-24
남구청 민원실,"2층, 3층",부산광역시,남구,관공서,SKT,Public WiFi,15-Oct,부산광역시 남구 못골로 19,부산광역시 남구 대연동 1268-1,부산광역시,051-888-4604,35.1364086,129.0843714,2018-08-24
남구청 구민공원,공원,부산광역시,남구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 남구 못골로 19,부산광역시 남구 대연6동 1268-1,부산광역시,051-888-4604,35.1364086,129.0843714,2018-08-24
남구 종합사회복지관,복지관,부산광역시,남구,서민·복지시설,KT,Public WiFi,12-Oct,부산광역시 남구 우암양달로89번길 29,부산광역시 남구 우암동 129-339,부산광역시,051-888-4604,35.1273813,129.0747377,2018-08-24
남구 장애인복지관,복지관,부산광역시,남구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 남구 조각공원로11번길 38,부산광역시 남구 대연동 567-16,부산광역시,051-888-4604,35.1292022,129.0992329,2018-08-24
남구 보건소,민원실,부산광역시,남구,관공서,SKT,Public WiFi,15-Oct,부산광역시 남구 못골로 23,부산광역시 남구 대연동 1268-3,부산광역시,051-888-4604,35.1359912,129.0849575,2018-08-24
남구 도서관,도서관,부산광역시,남구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 남구 수영로267번길 61,부산광역시 남구 대연동 317-56,부산광역시,051-888-4604,35.1379698,129.0947979,2018-08-24
남구 노인복지관,복지관,부산광역시,남구,서민·복지시설,KT,Public WiFi,15-Oct,부산광역시 남구 못골로 97-10,부산광역시 남구 대연동 1346,부산광역시,051-888-4604,35.1361874,129.0932252,2018-08-24
나사함발달장애복지관,복지관,부산광역시,남구,서민·복지시설,SKT,Public WiFi,15-Oct,부산광역시 남구 못골번영로 70,부산광역시 남구 대연동 1483-9,부산광역시,051-888-4604,35.1413421,129.0890435,2018-08-24
국도예술관,예술관,부산광역시,남구,지역문화시설,SKT,Public WiFi,13-Oct,부산광역시 남구 유엔평화로76번길 26,부산광역시 남구 대연동 965-2,부산광역시,051-888-4604,35.1277212,129.0927542,2018-08-24
교통관리공단,민원실,부산광역시,남구,관공서,SKT,Public WiFi,12-Oct,부산광역시 남구 용소로 68,부산광역시 남구 대연3동 580-8,부산광역시,051-888-4604,35.1310208,129.1019171,2018-08-24
감만사회복지관,복지관,부산광역시,남구,서민·복지시설,SKT,Public WiFi,13-Oct,부산광역시 남구 우암로 84-1,부산광역시 남구 감만동 78,부산광역시,051-888-4604,35.118507,129.081354,2018-08-24
감만2동 주민센터,민원실,부산광역시,남구,관공서,SKT,Public WiFi,15-Oct,부산광역시 남구 석포로 32-1,부산광역시 남구 감만동 20-58,부산광역시,051-888-4604,35.1225025,129.0845434,2018-08-24
감만1동 주민센터,민원실,부산광역시,남구,관공서,LGU+,Public WiFi,14-Oct,부산광역시 남구 우암로 71-1,부산광역시 남구 감만동 141-3,부산광역시,051-888-4604,35.116835,129.080674,2018-08-24
부산문화회관,중극장,부산광역시,남구,지역문화시설,부산광역시,Dynamic Busan,09-Mar,부산광역시 남구 유엔평화로76번길 1,부산광역시 남구 대연동 848-4,부산광역시,051-888-4604,35.127129,129.094532,2018-08-24
부산문화회관,관리동,부산광역시,남구,지역문화시설,부산광역시,Dynamic Busan,09-Mar,부산광역시 남구 유엔평화로76번길 1,부산광역시 남구 대연동 848-4,부산광역시,051-888-4604,35.126843,129.093962,2018-08-24
